Frame,Speed,Date,Time,Km marker
205,213,18/10/2023,16:00:27,020+801
206,213,18/10/2023,16:00:27,020+806
207,213,18/10/2023,16:00:27,020+806
208,213,18/10/2023,16:00:27,020+811
209,213,18/10/2023,16:00:27,020+816
210,213,18/10/2023,16:00:27,020+816
211,213,18/10/2023,16:00:27,020+821
212,213,18/10/2023,16:00:28,020+826
213,213,18/10/2023,16:00:28,020+826
214,213,18/10/2023,16:00:28,020+831
215,213,18/10/2023,16:00:28,020+836
216,213,18/10/2023,16:00:28,020+836
217,214,18/10/2023,16:00:28,020+841
218,214,18/10/2023,16:00:28,020+846
219,214,18/10/2023,16:00:28,020+851
220,214,18/10/2023,16:00:28,020+851
221,214,18/10/2023,16:00:28,020+856
222,214,18/10/2023,16:00:28,020+861
223,214,18/10/2023,16:00:28,020+861
224,214,18/10/2023,16:00:28,020+866
225,214,18/10/2023,16:00:28,020+871
226,214,18/10/2023,16:00:28,020+871
227,214,18/10/2023,16:00:28,020+876
228,214,18/10/2023,16:00:28,020+881
229,214,18/10/2023,16:00:28,020+881
230,214,18/10/2023,16:00:29,020+886
231,214,18/10/2023,16:00:29,020+891
232,214,18/10/2023,16:00:29,020+896
233,214,18/10/2023,16:00:29,020+896
234,214,18/10/2023,16:00:29,020+901
235,214,18/10/2023,16:00:29,020+906
236,214,18/10/2023,16:00:29,020+906
237,214,18/10/2023,16:00:29,020+911
238,214,18/10/2023,16:00:29,020+916
239,214,18/10/2023,16:00:29,020+916
240,214,18/10/2023,16:00:29,020+921
241,214,18/10/2023,16:00:29,020+926
242,214,18/10/2023,16:00:29,020+926
243,214,18/10/2023,16:00:29,020+931
244,214,18/10/2023,16:00:29,020+936
245,215,18/10/2023,16:00:29,020+941
246,215,18/10/2023,16:00:29,020+941
247,215,18/10/2023,16:00:30,020+946
248,215,18/10/2023,16:00:30,020+951
249,215,18/10/2023,16:00:30,020+951
250,215,18/10/2023,16:00:30,020+956
251,215,18/10/2023,16:00:30,020+961
