frame,speed,date,time,marker
262,215,18/10/2023,16:00:30,020+796
263,215,18/10/2023,16:00:30,020+796
264,215,18/10/2023,16:00:30,020+801
265,215,18/10/2023,16:00:31,020+806
266,215,18/10/2023,16:00:31,020+811
267,215,18/10/2023,16:00:31,020+811
268,215,18/10/2023,16:00:31,020+816
269,215,18/10/2023,16:00:31,020+821
270,215,18/10/2023,16:00:31,020+821
271,215,18/10/2023,16:00:31,020+826
272,215,18/10/2023,16:00:31,020+831
273,215,18/10/2023,16:00:31,020+831
274,215,18/10/2023,16:00:31,020+836
275,215,18/10/2023,16:00:31,020+841
276,215,18/10/2023,16:00:31,020+841
277,216,18/10/2023,16:00:31,020+846
278,216,18/10/2023,16:00:31,020+851
279,216,18/10/2023,16:00:31,020+856
280,216,18/10/2023,16:00:31,020+856
281,216,18/10/2023,16:00:31,020+861
282,216,18/10/2023,16:00:32,020+866
283,216,18/10/2023,16:00:32,020+866
284,216,18/10/2023,16:00:32,020+871
285,216,18/10/2023,16:00:32,020+876
286,216,18/10/2023,16:00:32,020+876
287,216,18/10/2023,16:00:32,020+881
288,216,18/10/2023,16:00:32,020+886
289,216,18/10/2023,16:00:32,020+891
290,216,18/10/2023,16:00:32,020+891
291,216,18/10/2023,16:00:32,020+896
292,216,18/10/2023,16:00:32,020+901
293,216,18/10/2023,16:00:32,020+901
294,216,18/10/2023,16:00:32,020+906
295,216,18/10/2023,16:00:32,020+911
296,216,18/10/2023,16:00:32,020+911
297,216,18/10/2023,16:00:32,020+916
298,216,18/10/2023,16:00:32,020+921
299,216,18/10/2023,16:00:32,020+921
300,216,18/10/2023,16:00:33,020+926
301,216,18/10/2023,16:00:33,020+931
302,216,18/10/2023,16:00:33,020+936
303,216,18/10/2023,16:00:33,020+936
304,216,18/10/2023,16:00:33,020+941
305,217,18/10/2023,16:00:33,020+946
306,217,18/10/2023,16:00:33,020+946
307,217,18/10/2023,16:00:33,020+951
308,217,18/10/2023,16:00:33,020+956
309,217,18/10/2023,16:00:33,020+956
310,217,18/10/2023,16:00:33,020+961
311,217,18/10/2023,16:00:33,020+966
312,217,18/10/2023,16:00:33,020+971
313,217,18/10/2023,16:00:33,020+971
314,217,18/10/2023,16:00:33,020+976
315,217,18/10/2023,16:00:33,020+981
316,217,18/10/2023,16:00:33,020+981
317,217,18/10/2023,16:00:34,020+986
318,217,18/10/2023,16:00:34,020+991
319,217,18/10/2023,16:00:34,020+991
320,217,18/10/2023,16:00:34,020+996
